Product,Issue,Company,State,Consumer disputed?,Cluster
Debt collection,"Loan modification,collection,foreclosure","Arnold Scott Harris, P.C.",IL,No,17
Credit card,Credit determination,Amex,GA,Yes,4
Consumer Loan,Managing the loan or lease,TD Bank US Holding Company,TN,Yes,5
Bank account or service,Deposits and withdrawals,Wells Fargo & Company,DE,No,9
Consumer Loan,Problems when you are unable to pay,"Prestige Financial Services, Inc.",NM,No,6
Credit card,Billing statement,Bank of America,NY,No,17
Credit reporting,Improper use of my credit report,"Sterling Infosystems, Inc.",CO,No,2
Bank account or service,Using a debit or ATM card,Bank of America,GA,Yes,4
Mortgage,"Loan servicing, payments, escrow account",CIT Bank National Association,IL,No,3
Consumer Loan,Problems when you are unable to pay,Credit Acceptance Corporation,IN,No,3
Debt collection,Improper contact or sharing of info,"JH Portfolio Debt Equities, LLC",AL,No,7
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,MD,No,16
Credit card,Identity theft / Fraud / Embezzlement,JPMorgan Chase & Co.,DC,No,7
Bank account or service,Deposits and withdrawals,U.S. Bancorp,OR,Yes,15
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,CA,No,7
Bank account or service,"Account opening, closing, or management",Whitney Bank,MS,Yes,15
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,FL,Yes,1
Mortgage,"Application, originator, mortgage broker",U.S. Bancorp,OH,No,14
Bank account or service,Problems caused by my funds being low,KeyCorp,VT,No,7
Credit reporting,Credit reporting company's investigation,Equifax,WI,No,0
Consumer Loan,Managing the loan or lease,Wells Fargo & Company,IL,Yes,15
Debt collection,"Loan modification,collection,foreclosure","Kansas Counselors of Kansas City, Inc.",MO,Yes,1
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",OR,No,16
Mortgage,"Loan servicing, payments, escrow account",Ocwen,FL,No,6
Credit card,Closing/Cancelling account,Citibank,CO,No,3
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",PA,Yes,8
Credit card,APR or interest rate,Citibank,MI,No,3
Mortgage,"Loan servicing, payments, escrow account",Bank of America,GA,No,17
Credit card,Delinquent account,Synchrony Financial,MA,No,2
Debt collection,"Loan modification,collection,foreclosure","I.C. System, Inc.",TX,No,7
Credit reporting,Improper use of my credit report,Equifax,OH,No,0
Mortgage,Settlement process and costs,Wells Fargo & Company,MD,No,9
Credit card,Payoff process,Discover,OK,No,0
Credit reporting,Credit reporting company's investigation,Experian,CA,No,0
Bank account or service,"Making/receiving payments, sending money","PayPal Holdings, Inc.",GA,No,6
Debt collection,Communication tactics,JPMorgan Chase & Co.,CA,No,7
Credit reporting,Unable to get credit report/credit score,Experian,MS,No,0
Debt collection,Improper contact or sharing of info,"Portfolio Recovery Associates, Inc.",NY,No,6
Student loan,Repaying your loan,Wells Fargo & Company,OR,No,9
Credit reporting,Unable to get credit report/credit score,Experian,AZ,No,0
Money transfers,Money was not available when promised,BB&T Financial,NC,No,17
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,CA,Yes,1
Debt collection,Improper contact or sharing of info,Citibank,CA,Yes,10
Bank account or service,"Account opening, closing, or management",Union Bank,CA,Yes,15
Consumer Loan,Taking out the loan or lease,Santander Consumer USA Holdings Inc,NY,No,13
Credit reporting,Unable to get credit report/credit score,Equifax,OR,No,0
Debt collection,"Loan modification,collection,foreclosure",Resurgent Capital Services L.P.,FL,No,13
Debt collection,False statements or representation,"I.C. System, Inc.",GA,No,7
Credit reporting,Unable to get credit report/credit score,Experian,VA,No,0
Consumer Loan,Shopping for a line of credit,Delbert Services,SC,No,0
Mortgage,"Application, originator, mortgage broker",CIT Bank National Association,NV,No,3
Debt collection,Communication tactics,Global Credit & Collection Corporation,NY,No,19
Mortgage,"Loan servicing, payments, escrow account",U.S. Bancorp,OK,No,14
Credit reporting,Improper use of my credit report,Equifax,CA,No,0
