Product,Issue,Company,State,Consumer disputed?,Cluster
Bank account or service,Deposits and withdrawals,Bank of America,LA,No,17
Consumer Loan,Taking out the loan or lease,"PayPal Holdings, Inc.",NY,Yes,8
Mortgage,"Application, originator, mortgage broker",Bank of America,CA,No,17
Credit reporting,Credit reporting company's investigation,Equifax,NY,No,0
Credit card,Payoff process,Capital One,TX,No,3
Mortgage,"Loan servicing, payments, escrow account",Ocwen,TX,No,6
Debt collection,"Loan modification,collection,foreclosure","I.C. System, Inc.",FL,No,7
Mortgage,"Application, originator, mortgage broker","Citizens Financial Group, Inc.",NY,No,3
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",GA,Yes,5
Debt collection,Communication tactics,"National Credit Adjusters, LLC",LA,No,16
Bank account or service,"Account opening, closing, or management",U.S. Bancorp,TN,No,14
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,FL,No,7
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,IL,No,7
Mortgage,"Loan servicing, payments, escrow account",Bank of America,PA,No,17
Debt collection,Communication tactics,JPMorgan Chase & Co.,TX,No,7
Debt collection,Improper contact or sharing of info,Nationstar Mortgage,CA,Yes,8
Debt collection,Communication tactics,"Selip & Stylianou, LLP",NY,No,13
Bank account or service,"Account opening, closing, or management",JPMorgan Chase & Co.,NY,No,7
Bank account or service,Problems caused by my funds being low,"SunTrust Banks, Inc.",MD,No,2
Bank account or service,Using a debit or ATM card,JPMorgan Chase & Co.,TX,No,7
Credit reporting,Credit reporting company's investigation,Equifax,SC,Yes,12
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",IN,No,14
Mortgage,"Loan servicing, payments, escrow account",Ocwen,NJ,No,6
Credit reporting,Improper use of my credit report,Equifax,GA,Yes,12
Credit reporting,Unable to get credit report/credit score,Experian,MN,No,0
Payday loan,Charged fees or interest I didn't expect,"SFS, Inc",NY,No,13
Bank account or service,Problems caused by my funds being low,JPMorgan Chase & Co.,AZ,Yes,1
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,FL,Yes,8
Consumer Loan,Problems when you are unable to pay,GM Financial,SC,No,19
Credit card,Billing disputes,JPMorgan Chase & Co.,NY,Yes,1
Bank account or service,Deposits and withdrawals,Bank of America,DC,No,17
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,MN,No,9
Credit reporting,Unable to get credit report/credit score,Experian,MI,No,0
Student loan,Getting a loan,Discover,IN,No,0
Debt collection,False statements or representation,JPMorgan Chase & Co.,IL,No,7
Debt collection,Communication tactics,AES/PHEAA,NJ,No,11
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,AZ,No,16
Bank account or service,Deposits and withdrawals,Wells Fargo & Company,AL,No,9
Credit reporting,Unable to get credit report/credit score,"TransUnion Intermediate Holdings, Inc.",NJ,No,14
Student loan,Dealing with my lender or servicer,Access Group,CA,No,11
Credit card,Identity theft / Fraud / Embezzlement,Citibank,CA,No,3
Consumer Loan,Managing the loan or lease,Ally Financial Inc.,FL,Yes,4
Bank account or service,Deposits and withdrawals,Wells Fargo & Company,CT,No,9
Consumer Loan,Managing the loan or lease,Capital One,TX,Yes,10
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",TX,No,14
Debt collection,"Loan modification,collection,foreclosure","MEDCAH, Inc.",WA,No,7
Bank account or service,Deposits and withdrawals,USAA Savings,IL,No,14
Bank account or service,"Account opening, closing, or management",Bank of America,CA,No,17
Student loan,Repaying your loan,"Navient Solutions, Inc.",DE,Yes,8
Credit card,Billing disputes,Citibank,VA,No,3
Bank account or service,"Account opening, closing, or management",Bank of America,GA,Yes,4
Debt collection,Taking/threatening an illegal action,Wells Fargo & Company,CA,No,9
Credit card,Closing/Cancelling account,Barclays PLC,WI,No,17
Debt collection,"Loan modification,collection,foreclosure",Northwest Collectors Inc.,IL,No,6
Mortgage,"Loan servicing, payments, escrow account",U.S. Bancorp,NV,No,14
Consumer Loan,Problems when you are unable to pay,GM Financial,TN,No,19
Bank account or service,"Account opening, closing, or management",East West Bank,NY,No,0
Debt collection,Improper contact or sharing of info,"Webcollex, LLC",IN,No,9
Debt collection,"Loan modification,collection,foreclosure","Southwest Credit Systems, L.P.",NY,No,2
Money transfers,Fraud or scam,MoneyGram,MS,No,16
Debt collection,"Loan modification,collection,foreclosure","Contract Callers, Inc.",SC,No,3
Mortgage,"Loan servicing, payments, escrow account",Bank of America,OK,No,17
Credit card,Privacy,Amex,MI,Yes,4
Credit card,Credit determination,Citibank,NH,No,3
Debt collection,Improper contact or sharing of info,Collection Bureau of America Ltd.,AR,No,3
Bank account or service,"Account opening, closing, or management",New York Community Bank,FL,No,16
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,MS,No,7
Bank account or service,Deposits and withdrawals,KeyCorp,ME,No,7
Mortgage,"Loan servicing, payments, escrow account","PennyMac Loan Services, LLC",CO,No,6
Mortgage,"Application, originator, mortgage broker",Citibank,NY,No,3
Consumer Loan,Taking out the loan or lease,"CashCall, Inc.",GA,Yes,10
Credit reporting,Credit monitoring or identity protection,Experian,FL,Yes,12
Bank account or service,Using a debit or ATM card,Bank of America,NY,No,17
Bank account or service,"Account opening, closing, or management",Fifth Third Financial Corporation,FL,No,0
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CA,No,6
Mortgage,"Loan servicing, payments, escrow account",PHH Mortgage,CT,No,6
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,NJ,No,9
Credit card,Customer service / Customer relations,JPMorgan Chase & Co.,SC,No,7
Consumer Loan,Account terms and changes,JPMorgan Chase & Co.,NY,No,7
Credit card,Billing disputes,"PayPal Holdings, Inc.",GA,No,6
Consumer Loan,Problems when you are unable to pay,BB&T Financial,FL,No,17
Debt collection,False statements or representation,Capital One,NY,No,3
Debt collection,Improper contact or sharing of info,"National Credit Systems,Inc.",TX,No,16
Bank account or service,Problems caused by my funds being low,Wells Fargo & Company,NV,Yes,15
Mortgage,"Application, originator, mortgage broker",BB&T Financial,TX,No,17
Debt collection,"Loan modification,collection,foreclosure","Merchants and Medical Credit Corporation, Inc.",MI,No,16
Credit reporting,Unable to get credit report/credit score,Experian,NJ,No,0
Bank account or service,"Account opening, closing, or management",U.S. Bancorp,OR,No,14
Credit reporting,Unable to get credit report/credit score,"Fidelity National Information Services, Inc. (FNIS)",MN,No,0
Debt collection,"Loan modification,collection,foreclosure",Encore Capital Group,CA,No,0
Debt collection,Communication tactics,"I.Q. Data International, Inc.",OR,No,7
Debt collection,Communication tactics,Allied Interstate LLC,GA,No,11
Debt collection,Communication tactics,Specialized Loan Servicing LLC,IL,Yes,5
Credit card,Billing disputes,Amex,CA,Yes,4
Bank account or service,"Making/receiving payments, sending money",TD Bank US Holding Company,NY,Yes,5
Bank account or service,Deposits and withdrawals,U.S. Bancorp,CA,No,14
Money transfers,Money was not available when promised,The Western Union Company,TX,No,14
Bank account or service,Deposits and withdrawals,TD Bank US Holding Company,PA,No,2
Credit card,Customer service / Customer relations,Capital One,CT,No,3
Mortgage,"Loan servicing, payments, escrow account",Bank of America,AZ,No,17
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",CA,Yes,5
Debt collection,"Loan modification,collection,foreclosure",ERC,OH,No,0
Debt collection,"Loan modification,collection,foreclosure","Professional Credit Management, Inc",AR,No,6
Mortgage,"Loan servicing, payments, escrow account","Seterus, Inc.",MA,No,13
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,OH,No,0
Debt collection,Improper contact or sharing of info,"Lamont, Hanley & Associates, Inc.",LA,No,7
Credit reporting,Unable to get credit report/credit score,Experian,CA,No,0
Bank account or service,"Account opening, closing, or management",Bank of America,MI,Yes,4
Money transfers,Fraud or scam,MoneyGram,PA,No,16
Credit reporting,Credit reporting company's investigation,Experian,NJ,No,0
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,CA,No,9
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,WI,No,0
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,UT,No,16
Consumer Loan,Managing the loan or lease,CFS of Aurora IL LLC,IL,Yes,10
Debt collection,"Loan modification,collection,foreclosure",Encore Capital Group,CA,Yes,12
Payday loan,Can't contact lender,"National Principal Group, LLC",SC,No,16
Bank account or service,Deposits and withdrawals,"SunTrust Banks, Inc.",FL,Yes,5
Credit reporting,Credit monitoring or identity protection,Equifax,FL,No,0
Debt collection,Improper contact or sharing of info,"Portfolio Recovery Associates, Inc.",NC,Yes,8
Credit card,Closing/Cancelling account,Synchrony Financial,UT,No,2
Debt collection,False statements or representation,"Autovest, L.L.C.",WA,No,17
Credit card,Rewards,Discover,CA,Yes,12
Credit card,Transaction issue,Citibank,NC,No,3
Payday loan,Charged fees or interest I didn't expect,"Trademark Management Solutions, LLC.",GA,Yes,5
Credit reporting,Credit reporting company's investigation,Experian,VA,Yes,12
Mortgage,Settlement process and costs,Ditech Financial LLC,FL,No,0
Bank account or service,Problems caused by my funds being low,JPMorgan Chase & Co.,LA,No,7
Mortgage,"Loan servicing, payments, escrow account",Bank of America,WA,Yes,4
Bank account or service,Using a debit or ATM card,U.S. Bancorp,CA,Yes,15
Bank account or service,"Account opening, closing, or management","SunTrust Banks, Inc.",FL,No,2
Credit reporting,Unable to get credit report/credit score,Equifax,AZ,No,0
Credit card,Billing disputes,Synchrony Financial,CA,No,2
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,NC,No,16
Bank account or service,"Account opening, closing, or management",JPMorgan Chase & Co.,MI,No,7
Mortgage,"Loan servicing, payments, escrow account","FirstKey Holdings, LLC",CA,No,19
Debt collection,"Loan modification,collection,foreclosure",Caine & Weiner Co. Inc.,TX,No,3
Credit card,Customer service / Customer relations,"Total Card, Inc.",CA,No,14
Credit card,Billing disputes,Discover,NY,Yes,12
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,LA,No,7
Mortgage,Settlement process and costs,Bank of America,OR,Yes,4
Credit card,Credit card protection / Debt protection,Bank of America,MA,No,17
Consumer Loan,Managing the loan or lease,Justice Finance Company,TX,Yes,1
Money transfers,Money was not available when promised,The Western Union Company,GA,No,14
Bank account or service,"Account opening, closing, or management",Bank of America,DC,No,17
Debt collection,Communication tactics,Ceannate,IN,Yes,10
Credit reporting,Credit reporting company's investigation,Equifax,NY,No,0
Debt collection,Communication tactics,"Yakima County Credit Service, INC",WA,No,9
Credit card,Credit line increase/decrease,Wells Fargo & Company,KY,No,9
Debt collection,Communication tactics,"First National Collection Bureau, Inc.",TN,No,19
Debt collection,"Loan modification,collection,foreclosure","Gulf Coast Collection Bureau, Inc.",FL,No,19
Credit card,Late fee,Amex,NY,No,11
Mortgage,Settlement process and costs,Bank of America,ID,No,17
Student loan,Can't repay my loan,Discover,MA,No,0
Debt collection,"Loan modification,collection,foreclosure",RJM Acquisitions LLC (Closed),AZ,No,13
Consumer Loan,Managing the loan or lease,Hyundai Capital America,FL,No,7
Credit card,Credit determination,Amex,MI,Yes,4
Debt collection,False statements or representation,"Expert Global Solutions, Inc.",MO,No,0
Bank account or service,"Account opening, closing, or management",JPMorgan Chase & Co.,CA,No,7
Mortgage,"Loan servicing, payments, escrow account",Bank of America,FL,No,17
Credit card,APR or interest rate,Capital One,CA,No,3
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,SC,No,16
Mortgage,"Loan servicing, payments, escrow account",Citibank,CA,No,3
Debt collection,Communication tactics,"URS Holding, LLC",MI,No,14
Money transfers,Wrong amount charged or received,TD Bank US Holding Company,NC,Yes,5
Bank account or service,"Account opening, closing, or management",BB&T Financial,NC,No,17
Consumer Loan,Managing the loan or lease,American Honda Finance Corporation,NJ,No,11
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,TX,No,16
Bank account or service,"Making/receiving payments, sending money",Fifth Third Financial Corporation,OH,Yes,12
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",GA,No,16
Credit reporting,Unable to get credit report/credit score,Equifax,FL,No,0
Payday loan,Received a loan I didn't apply for,"Big Picture Loans, LLC",GA,No,17
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",NY,No,16
Debt collection,False statements or representation,"Retrieval-Masters Creditors Bureau, Inc.",TN,No,13
Debt collection,"Loan modification,collection,foreclosure","CMRE Financial Services, Inc.",FL,No,3
Student loan,Repaying your loan,Sallie Mae,TX,No,13
Debt collection,Communication tactics,Data Line Credit Corp,CA,No,0
Debt collection,"Loan modification,collection,foreclosure",HSBC North America Holdings Inc.,OR,No,19
Credit reporting,Unable to get credit report/credit score,Equifax,AK,No,0
Debt collection,"Loan modification,collection,foreclosure",Resurgent Capital Services L.P.,CA,No,13
Bank account or service,Problems caused by my funds being low,First National Bank of Omaha,NJ,No,19
Consumer Loan,Problems when you are unable to pay,Delbert Services,NC,No,0
Credit reporting,Improper use of my credit report,Equifax,WA,No,0
Bank account or service,"Account opening, closing, or management",Discover,NY,No,0
Credit card,Closing/Cancelling account,Synchrony Financial,CA,No,2
Student loan,Repaying your loan,"Navient Solutions, Inc.",TX,No,16
Mortgage,Credit decision / Underwriting,Wells Fargo & Company,CA,Yes,15
